,start_longitude,start_latitude,end_longitude,end_latitude,start_longitude_utm,start_latitude_utm,end_longitude_utm,end_latitude_utm,hour,daytype
36722,4.89269,52.35648,4.85912,52.351079999999996,121311.2653144096,485512.85966787994,119019.96221206267,484928.1759276625,23,weekday
36723,4.92518,52.3587,4.92746,52.37834,123526.19616145792,485745.2583262919,123695.37358278707,487929.48019733833,23,weekday
36732,4.82609,52.380790000000005,4.9225,52.41338,116795.14891917558,488250.69066638325,123382.6462198947,491830.3178029239,23,weekday
36733,4.81977,52.3768,4.92214,52.34599,116361.3660394905,487810.10358011705,123310.03521723338,484332.43238019646,23,weekday
36728,4.89529,52.40101,4.84817,52.373870000000004,121522.01950522189,490466.2054145498,118292.77317838374,487469.34008485667,23,weekday
36730,4.92732,52.36453,5.00204,52.351490000000005,123676.0907114806,486392.9948304967,128757.71718180185,484912.4510222751,23,weekday
36739,4.9549,52.318459999999995,4.94215,52.36567,125524.05114731018,481255.55582300114,124686.97024664408,486513.5289939031,23,weekday
36740,4.94995,52.302659999999996,4.8270599999999995,52.36164,125175.9448084668,479499.6388023957,116844.72387862197,486119.5025713234,23,weekday
36738,4.89496,52.38022,4.91674,52.35703,121483.84757787053,488153.1901192073,122950.04989074101,485563.14772788645,23,weekday
38325,4.92566,52.35595,4.94335,52.36043,123556.94581065023,485439.0768909477,124765.13221421861,485930.00864286884,23,weekday
38329,4.89859,52.34256,4.93312,52.365759999999995,121702.75752373514,483961.35852588003,124071.99750331216,486527.35767554,23,weekday
38342,4.90278,52.369859999999996,4.9295599999999995,52.39755,122008.58860211275,486996.91555973043,123851.86230635241,490065.9501804119,23,weekday
38344,4.88844,52.35485,4.90536,52.3487,121020.4896596091,485333.4854435895,122168.64431968203,484641.4222994331,23,weekday
38349,4.89982,52.339059999999996,4.8602,52.37492,121783.95823251561,483571.3758263349,119112.83298811642,487580.14066181565,23,weekday
38343,4.904719999999999,52.37035,4.910069999999999,52.355309999999996,122141.07266382326,487050.55312141194,122494.40696745936,485374.74596489617,23,weekday
38341,4.90885,52.3638,4.82726,52.35431,122417.5276454174,486319.91566088604,116852.0461134807,485303.8452335293,23,weekday
38358,5.00203,52.35451,4.9196599999999995,52.34943,128758.82130941712,485248.4699049981,123143.5158194541,484716.26315305027,23,weekday
